,UTC Time at End of Hour,Net Generation (MW) from Coal,Net Generation (MW) from Natural Gas,Net Generation (MW) from Nuclear,Net Generation (MW) from All Petroleum Products,Net Generation (MW) from Hydropower and Pumped Storage,Net Generation (MW) from Solar,Net Generation (MW) from Wind,Net Generation (MW) from Other
0,2021-01-01 06:00:00,25367.0,15999.0,11534.0,,714.0,0.0,9486.0,840.0
1,2021-01-01 07:00:00,24662.0,16063.0,11544.0,,664.0,0.0,8780.0,840.0
2,2021-01-01 08:00:00,25365.0,16057.0,11555.0,,661.0,0.0,6912.0,839.0
3,2021-01-01 09:00:00,24811.0,15870.0,11560.0,,664.0,0.0,5967.0,840.0
4,2021-01-01 10:00:00,25041.0,15755.0,11565.0,,668.0,0.0,5074.0,844.0
5,2021-01-01 11:00:00,25263.0,16662.0,11563.0,,672.0,0.0,4639.0,844.0
6,2021-01-01 12:00:00,26869.0,17070.0,11565.0,,677.0,0.0,4082.0,849.0
7,2021-01-01 13:00:00,28056.0,17277.0,11558.0,,707.0,0.0,3355.0,857.0
8,2021-01-01 14:00:00,28424.0,18107.0,11559.0,,730.0,6.0,3284.0,868.0
9,2021-01-01 15:00:00,28702.0,18394.0,11559.0,,797.0,37.0,3703.0,873.0
10,2021-01-01 16:00:00,29830.0,18630.0,11556.0,,837.0,105.0,3700.0,911.0
11,2021-01-01 17:00:00,31125.0,18678.0,11555.0,,835.0,126.0,3109.0,964.0
12,2021-01-01 18:00:00,31644.0,18614.0,11560.0,,768.0,154.0,2971.0,976.0
13,2021-01-01 19:00:00,31195.0,18450.0,11559.0,,738.0,169.0,2988.0,934.0
14,2021-01-01 20:00:00,30744.0,18341.0,11556.0,,736.0,164.0,2765.0,906.0
15,2021-01-01 21:00:00,30282.0,18047.0,11562.0,,729.0,162.0,3106.0,883.0
16,2021-01-01 22:00:00,29788.0,18058.0,11562.0,,769.0,103.0,3920.0,872.0
17,2021-01-01 23:00:00,30433.0,18770.0,11559.0,,933.0,19.0,4779.0,893.0
18,2021-01-02 00:00:00,31526.0,19063.0,11559.0,,1584.0,1.0,5252.0,951.0
19,2021-01-02 01:00:00,31801.0,18774.0,11560.0,,917.0,1.0,5716.0,958.0
20,2021-01-02 02:00:00,30964.0,18489.0,11562.0,,698.0,1.0,6082.0,932.0
21,2021-01-02 03:00:00,30086.0,18320.0,11559.0,,731.0,1.0,5960.0,945.0
22,2021-01-02 04:00:00,28491.0,17568.0,11566.0,,719.0,1.0,6155.0,915.0
23,2021-01-02 05:00:00,26897.0,17260.0,11566.0,,680.0,1.0,6147.0,888.0
24,2021-01-02 06:00:00,24407.0,16851.0,11567.0,,709.0,1.0,5887.0,866.0
25,2021-01-02 07:00:00,22813.0,16891.0,11571.0,,712.0,0.0,5319.0,856.0
26,2021-01-02 08:00:00,22953.0,16941.0,11571.0,,709.0,1.0,4875.0,851.0
27,2021-01-02 09:00:00,23207.0,16956.0,11574.0,,704.0,1.0,4452.0,847.0
28,2021-01-02 10:00:00,23056.0,16851.0,11569.0,,740.0,1.0,4490.0,847.0
