UTC Time at End of Hour,Net Generation (MW) from Coal
2021-01-01 06:00:00,25367.0
2021-01-01 07:00:00,24662.0
2021-01-01 08:00:00,25365.0
2021-01-01 09:00:00,24811.0
2021-01-01 10:00:00,25041.0
2021-01-01 11:00:00,25263.0
2021-01-01 12:00:00,26869.0
2021-01-01 13:00:00,28056.0
2021-01-01 14:00:00,28424.0
2021-01-01 15:00:00,28702.0
2021-01-01 16:00:00,29830.0
2021-01-01 17:00:00,31125.0
2021-01-01 18:00:00,31644.0
2021-01-01 19:00:00,31195.0
2021-01-01 20:00:00,30744.0
2021-01-01 21:00:00,30282.0
2021-01-01 22:00:00,29788.0
2021-01-01 23:00:00,30433.0
2021-01-02 00:00:00,31526.0
2021-01-02 01:00:00,31801.0
2021-01-02 02:00:00,30964.0
2021-01-02 03:00:00,30086.0
2021-01-02 04:00:00,28491.0
2021-01-02 05:00:00,26897.0
2021-01-02 06:00:00,24407.0
2021-01-02 07:00:00,22813.0
2021-01-02 08:00:00,22953.0
2021-01-02 09:00:00,23207.0
2021-01-02 10:00:00,23056.0
2021-01-02 11:00:00,23065.0
2021-01-02 12:00:00,23742.0
2021-01-02 13:00:00,25506.0
2021-01-02 14:00:00,27697.0
2021-01-02 15:00:00,29150.0
2021-01-02 16:00:00,30681.0
2021-01-02 17:00:00,31113.0
2021-01-02 18:00:00,30692.0
2021-01-02 19:00:00,30028.0
2021-01-02 20:00:00,29803.0
2021-01-02 21:00:00,29652.0
2021-01-02 22:00:00,29823.0
2021-01-02 23:00:00,30371.0
2021-01-03 00:00:00,31589.0
2021-01-03 01:00:00,32242.0
2021-01-03 02:00:00,31484.0
2021-01-03 03:00:00,30963.0
2021-01-03 04:00:00,29851.0
2021-01-03 05:00:00,27784.0
2021-01-03 06:00:00,25951.0
2021-01-03 07:00:00,24683.0
2021-01-03 08:00:00,23657.0
2021-01-03 09:00:00,22603.0
2021-01-03 10:00:00,22978.0
2021-01-03 11:00:00,24523.0
2021-01-03 12:00:00,24930.0
2021-01-03 13:00:00,25848.0
2021-01-03 14:00:00,27584.0
2021-01-03 15:00:00,28409.0
