UTC Time at End of Hour,Net Generation (MW) from Wind,temp,dwpt,rhum,prcp,wdir,wspd,pres
2021-01-01 06:00:00,9486.0,-6.0,-6.0,100.0,0.0,130.0,20.5,1025.3
2021-01-01 07:00:00,8780.0,-6.0,-6.0,100.0,0.0,100.0,9.4,1025.2
2021-01-01 08:00:00,6912.0,-6.0,-6.0,100.0,0.0,110.0,13.0,1025.0
2021-01-01 09:00:00,5967.0,-6.0,-6.0,100.0,0.0,90.0,16.6,1024.5
2021-01-01 10:00:00,5074.0,-6.0,-6.0,100.0,0.0,80.0,13.0,1024.1
2021-01-01 11:00:00,4639.0,-6.0,-6.0,100.0,0.0,50.0,16.6,1023.4
2021-01-01 12:00:00,4082.0,-6.0,-6.0,100.0,0.0,50.0,20.5,1022.2
2021-01-01 13:00:00,3355.0,-7.0,-7.0,100.0,0.0,50.0,27.7,1020.9
2021-01-01 14:00:00,3284.0,-7.0,-7.0,100.0,0.0,40.0,14.8,1020.6
2021-01-01 15:00:00,3703.0,-7.0,-7.0,100.0,0.0,40.0,22.3,1019.2
2021-01-01 16:00:00,3700.0,-6.0,-6.0,100.0,0.0,40.0,14.8,1018.7
2021-01-01 17:00:00,3109.0,-6.0,-6.0,100.0,0.0,30.0,13.0,1017.9
2021-01-01 18:00:00,2971.0,-6.0,-6.0,100.0,0.0,350.0,13.0,1017.1
2021-01-01 19:00:00,2988.0,-5.0,-6.0,93.0,0.0,360.0,18.4,1016.6
2021-01-01 20:00:00,2765.0,-5.0,-5.0,100.0,0.0,340.0,14.8,1016.3
2021-01-01 21:00:00,3106.0,-4.0,-5.0,93.0,0.0,340.0,16.6,1016.5
2021-01-01 22:00:00,3920.0,-4.0,-5.0,93.0,0.0,340.0,16.6,1017.0
2021-01-01 23:00:00,4779.0,-4.0,-5.0,93.0,0.0,340.0,18.4,1017.4
2021-01-02 00:00:00,5252.0,-4.0,-5.0,93.0,0.0,350.0,16.6,1018.8
2021-01-02 01:00:00,5716.0,-5.0,-6.0,93.0,0.0,350.0,18.4,1019.1
2021-01-02 02:00:00,6082.0,-6.0,-6.0,100.0,0.0,350.0,16.6,1018.9
2021-01-02 03:00:00,5960.0,-6.0,-6.9,93.0,0.0,350.0,14.8,1018.8
2021-01-02 04:00:00,6155.0,-8.0,-8.0,100.0,0.0,320.0,9.4,1019.2
2021-01-02 05:00:00,6147.0,-9.0,-9.0,100.0,0.0,300.0,5.4,1019.8
2021-01-02 06:00:00,5887.0,-9.0,-9.0,100.0,0.0,300.0,9.4,1020.5
2021-01-02 07:00:00,5319.0,-11.0,-11.0,100.0,0.0,330.0,9.4,1020.6
2021-01-02 08:00:00,4875.0,-11.0,-11.0,100.0,0.0,320.0,11.2,1021.5
