UTC Time at End of Hour,Net Generation (MW) from Coal,Net Generation (MW) from Natural Gas,Net Generation (MW) from Nuclear,Net Generation (MW) from All Petroleum Products
2021-01-01 06:00:00,25367.0,15999.0,11534.0,
2021-01-01 07:00:00,24662.0,16063.0,11544.0,
2021-01-01 08:00:00,25365.0,16057.0,11555.0,
2021-01-01 09:00:00,24811.0,15870.0,11560.0,
2021-01-01 10:00:00,25041.0,15755.0,11565.0,
2021-01-01 11:00:00,25263.0,16662.0,11563.0,
2021-01-01 12:00:00,26869.0,17070.0,11565.0,
2021-01-01 13:00:00,28056.0,17277.0,11558.0,
2021-01-01 14:00:00,28424.0,18107.0,11559.0,
2021-01-01 15:00:00,28702.0,18394.0,11559.0,
2021-01-01 16:00:00,29830.0,18630.0,11556.0,
2021-01-01 17:00:00,31125.0,18678.0,11555.0,
2021-01-01 18:00:00,31644.0,18614.0,11560.0,
2021-01-01 19:00:00,31195.0,18450.0,11559.0,
2021-01-01 20:00:00,30744.0,18341.0,11556.0,
2021-01-01 21:00:00,30282.0,18047.0,11562.0,
2021-01-01 22:00:00,29788.0,18058.0,11562.0,
2021-01-01 23:00:00,30433.0,18770.0,11559.0,
2021-01-02 00:00:00,31526.0,19063.0,11559.0,
2021-01-02 01:00:00,31801.0,18774.0,11560.0,
2021-01-02 02:00:00,30964.0,18489.0,11562.0,
2021-01-02 03:00:00,30086.0,18320.0,11559.0,
2021-01-02 04:00:00,28491.0,17568.0,11566.0,
2021-01-02 05:00:00,26897.0,17260.0,11566.0,
2021-01-02 06:00:00,24407.0,16851.0,11567.0,
2021-01-02 07:00:00,22813.0,16891.0,11571.0,
2021-01-02 08:00:00,22953.0,16941.0,11571.0,
2021-01-02 09:00:00,23207.0,16956.0,11574.0,
2021-01-02 10:00:00,23056.0,16851.0,11569.0,
2021-01-02 11:00:00,23065.0,17253.0,11570.0,
2021-01-02 12:00:00,23742.0,17214.0,11567.0,
2021-01-02 13:00:00,25506.0,17534.0,11566.0,
2021-01-02 14:00:00,27697.0,17799.0,11566.0,
2021-01-02 15:00:00,29150.0,18336.0,11563.0,
2021-01-02 16:00:00,30681.0,18843.0,11559.0,
2021-01-02 17:00:00,31113.0,18500.0,11562.0,
2021-01-02 18:00:00,30692.0,18247.0,11559.0,
2021-01-02 19:00:00,30028.0,18035.0,11561.0,
2021-01-02 20:00:00,29803.0,17735.0,11558.0,
2021-01-02 21:00:00,29652.0,17675.0,11560.0,
2021-01-02 22:00:00,29823.0,17843.0,11557.0,
2021-01-02 23:00:00,30371.0,19083.0,11553.0,
2021-01-03 00:00:00,31589.0,19901.0,11551.0,
2021-01-03 01:00:00,32242.0,19674.0,11551.0,
2021-01-03 02:00:00,31484.0,19004.0,11547.0,
2021-01-03 03:00:00,30963.0,18736.0,11551.0,
2021-01-03 04:00:00,29851.0,18126.0,11561.0,
2021-01-03 05:00:00,27784.0,17696.0,11563.0,
2021-01-03 06:00:00,25951.0,16699.0,11565.0,
2021-01-03 07:00:00,24683.0,16483.0,11461.0,
2021-01-03 08:00:00,23657.0,16170.0,11271.0,
2021-01-03 09:00:00,22603.0,16197.0,11557.0,
2021-01-03 10:00:00,22978.0,16385.0,11556.0,
2021-01-03 11:00:00,24523.0,16284.0,11558.0,
2021-01-03 12:00:00,24930.0,16547.0,11558.0,
2021-01-03 13:00:00,25848.0,16969.0,11556.0,
2021-01-03 14:00:00,27584.0,17635.0,11561.0,
2021-01-03 15:00:00,28409.0,18213.0,11562.0,
2021-01-03 16:00:00,28111.0,18174.0,11554.0,
2021-01-03 17:00:00,27872.0,17798.0,11549.0,
2021-01-03 18:00:00,27840.0,17538.0,11550.0,
2021-01-03 19:00:00,28381.0,17588.0,11551.0,
2021-01-03 20:00:00,28021.0,17604.0,11549.0,
2021-01-03 21:00:00,27477.0,17659.0,11548.0,
2021-01-03 22:00:00,27618.0,17889.0,11548.0,
2021-01-03 23:00:00,28587.0,18390.0,11549.0,
2021-01-04 00:00:00,29739.0,18417.0,11549.0,
2021-01-04 01:00:00,29600.0,18410.0,11555.0,
2021-01-04 02:00:00,28096.0,18185.0,11553.0,
2021-01-04 03:00:00,27501.0,17884.0,11552.0,
2021-01-04 04:00:00,27247.0,17380.0,11553.0,
2021-01-04 05:00:00,25710.0,16889.0,11556.0,
2021-01-04 06:00:00,24439.0,16843.0,11557.0,
2021-01-04 07:00:00,24049.0,16837.0,11554.0,
2021-01-04 08:00:00,23744.0,16831.0,11557.0,
2021-01-04 09:00:00,24300.0,16941.0,11558.0,
2021-01-04 10:00:00,25482.0,17283.0,11559.0,
2021-01-04 11:00:00,27303.0,18201.0,11557.0,
2021-01-04 12:00:00,28708.0,20053.0,11557.0,
2021-01-04 13:00:00,30515.0,22140.0,11552.0,
2021-01-04 14:00:00,31729.0,23284.0,11547.0,
2021-01-04 15:00:00,31877.0,23455.0,11548.0,
2021-01-04 16:00:00,31452.0,22334.0,11542.0,
2021-01-04 17:00:00,31259.0,20503.0,11540.0,
2021-01-04 18:00:00,30617.0,19682.0,11532.0,
2021-01-04 19:00:00,30336.0,18828.0,11531.0,
2021-01-04 20:00:00,29941.0,18262.0,11534.0,
2021-01-04 21:00:00,29109.0,17775.0,11534.0,
2021-01-04 22:00:00,28765.0,17846.0,11539.0,
2021-01-04 23:00:00,29054.0,17948.0,11542.0,
2021-01-05 00:00:00,29943.0,18490.0,11542.0,
2021-01-05 01:00:00,30400.0,18804.0,11544.0,
2021-01-05 02:00:00,30316.0,18879.0,11548.0,
2021-01-05 03:00:00,29296.0,18289.0,11510.0,
2021-01-05 04:00:00,27648.0,17778.0,11412.0,
