UTC Time at End of Hour,Net Generation (MW) from Natural Gas
2021-01-01 06:00:00,15999.0
2021-01-01 07:00:00,16063.0
2021-01-01 08:00:00,16057.0
2021-01-01 09:00:00,15870.0
2021-01-01 10:00:00,15755.0
2021-01-01 11:00:00,16662.0
2021-01-01 12:00:00,17070.0
2021-01-01 13:00:00,17277.0
2021-01-01 14:00:00,18107.0
2021-01-01 15:00:00,18394.0
2021-01-01 16:00:00,18630.0
2021-01-01 17:00:00,18678.0
2021-01-01 18:00:00,18614.0
2021-01-01 19:00:00,18450.0
2021-01-01 20:00:00,18341.0
2021-01-01 21:00:00,18047.0
2021-01-01 22:00:00,18058.0
2021-01-01 23:00:00,18770.0
2021-01-02 00:00:00,19063.0
2021-01-02 01:00:00,18774.0
2021-01-02 02:00:00,18489.0
2021-01-02 03:00:00,18320.0
2021-01-02 04:00:00,17568.0
2021-01-02 05:00:00,17260.0
2021-01-02 06:00:00,16851.0
2021-01-02 07:00:00,16891.0
2021-01-02 08:00:00,16941.0
2021-01-02 09:00:00,16956.0
2021-01-02 10:00:00,16851.0
2021-01-02 11:00:00,17253.0
2021-01-02 12:00:00,17214.0
2021-01-02 13:00:00,17534.0
2021-01-02 14:00:00,17799.0
2021-01-02 15:00:00,18336.0
2021-01-02 16:00:00,18843.0
2021-01-02 17:00:00,18500.0
2021-01-02 18:00:00,18247.0
2021-01-02 19:00:00,18035.0
2021-01-02 20:00:00,17735.0
2021-01-02 21:00:00,17675.0
2021-01-02 22:00:00,17843.0
2021-01-02 23:00:00,19083.0
2021-01-03 00:00:00,19901.0
2021-01-03 01:00:00,19674.0
2021-01-03 02:00:00,19004.0
2021-01-03 03:00:00,18736.0
2021-01-03 04:00:00,18126.0
2021-01-03 05:00:00,17696.0
2021-01-03 06:00:00,16699.0
2021-01-03 07:00:00,16483.0
2021-01-03 08:00:00,16170.0
2021-01-03 09:00:00,16197.0
2021-01-03 10:00:00,16385.0
2021-01-03 11:00:00,16284.0
2021-01-03 12:00:00,16547.0
2021-01-03 13:00:00,16969.0
2021-01-03 14:00:00,17635.0
2021-01-03 15:00:00,18213.0
2021-01-03 16:00:00,18174.0
2021-01-03 17:00:00,17798.0
2021-01-03 18:00:00,17538.0
2021-01-03 19:00:00,17588.0
2021-01-03 20:00:00,17604.0
2021-01-03 21:00:00,17659.0
2021-01-03 22:00:00,17889.0
2021-01-03 23:00:00,18390.0
2021-01-04 00:00:00,18417.0
2021-01-04 01:00:00,18410.0
2021-01-04 02:00:00,18185.0
2021-01-04 03:00:00,17884.0
2021-01-04 04:00:00,17380.0
2021-01-04 05:00:00,16889.0
2021-01-04 06:00:00,16843.0
2021-01-04 07:00:00,16837.0
2021-01-04 08:00:00,16831.0
2021-01-04 09:00:00,16941.0
2021-01-04 10:00:00,17283.0
2021-01-04 11:00:00,18201.0
2021-01-04 12:00:00,20053.0
2021-01-04 13:00:00,22140.0
2021-01-04 14:00:00,23284.0
2021-01-04 15:00:00,23455.0
2021-01-04 16:00:00,22334.0
2021-01-04 17:00:00,20503.0
2021-01-04 18:00:00,19682.0
2021-01-04 19:00:00,18828.0
2021-01-04 20:00:00,18262.0
2021-01-04 21:00:00,17775.0
2021-01-04 22:00:00,17846.0
2021-01-04 23:00:00,17948.0
2021-01-05 00:00:00,18490.0
2021-01-05 01:00:00,18804.0
2021-01-05 02:00:00,18879.0
2021-01-05 03:00:00,18289.0
2021-01-05 04:00:00,17778.0
2021-01-05 05:00:00,17659.0
2021-01-05 06:00:00,17541.0
2021-01-05 07:00:00,17809.0
2021-01-05 08:00:00,17989.0
2021-01-05 09:00:00,18717.0
2021-01-05 10:00:00,19434.0
2021-01-05 11:00:00,20426.0
2021-01-05 12:00:00,21986.0
2021-01-05 13:00:00,23611.0
2021-01-05 14:00:00,24699.0
2021-01-05 15:00:00,24190.0
2021-01-05 16:00:00,23084.0
2021-01-05 17:00:00,21521.0
2021-01-05 18:00:00,20689.0
2021-01-05 19:00:00,20615.0
2021-01-05 20:00:00,20645.0
2021-01-05 21:00:00,20520.0
2021-01-05 22:00:00,20245.0
2021-01-05 23:00:00,20370.0
2021-01-06 00:00:00,21202.0
2021-01-06 01:00:00,20838.0
2021-01-06 02:00:00,20002.0
2021-01-06 03:00:00,19503.0
2021-01-06 04:00:00,18743.0
2021-01-06 05:00:00,18047.0
2021-01-06 06:00:00,17994.0
2021-01-06 07:00:00,17842.0
2021-01-06 08:00:00,17727.0
2021-01-06 09:00:00,17720.0
2021-01-06 10:00:00,17969.0
2021-01-06 11:00:00,18809.0
2021-01-06 12:00:00,20245.0
2021-01-06 13:00:00,21056.0
2021-01-06 14:00:00,21771.0
2021-01-06 15:00:00,21884.0
2021-01-06 16:00:00,21670.0
2021-01-06 17:00:00,21111.0
2021-01-06 18:00:00,20387.0
2021-01-06 19:00:00,20189.0
2021-01-06 20:00:00,20298.0
2021-01-06 21:00:00,20357.0
2021-01-06 22:00:00,20281.0
2021-01-06 23:00:00,20531.0
2021-01-07 00:00:00,21064.0
2021-01-07 01:00:00,20971.0
2021-01-07 02:00:00,20686.0
2021-01-07 03:00:00,20309.0
2021-01-07 04:00:00,19848.0
2021-01-07 05:00:00,19769.0
2021-01-07 06:00:00,20086.0
2021-01-07 07:00:00,19953.0
2021-01-07 08:00:00,19630.0
2021-01-07 09:00:00,19599.0
2021-01-07 10:00:00,19859.0
2021-01-07 11:00:00,19981.0
2021-01-07 12:00:00,21817.0
2021-01-07 13:00:00,23605.0
2021-01-07 14:00:00,25221.0
