UTC Time at End of Hour,Net Generation (MW) from Hydropower and Pumped Storage,Net Generation (MW) from Solar,Net Generation (MW) from Wind,temp,dwpt,rhum,prcp,wdir,wspd,pres
2021-01-01 06:00:00,714.0,0.0,9486.0,-6.0,-6.0,100.0,0.0,130.0,20.5,1025.3
2021-01-01 07:00:00,664.0,0.0,8780.0,-6.0,-6.0,100.0,0.0,100.0,9.4,1025.2
2021-01-01 08:00:00,661.0,0.0,6912.0,-6.0,-6.0,100.0,0.0,110.0,13.0,1025.0
2021-01-01 09:00:00,664.0,0.0,5967.0,-6.0,-6.0,100.0,0.0,90.0,16.6,1024.5
2021-01-01 10:00:00,668.0,0.0,5074.0,-6.0,-6.0,100.0,0.0,80.0,13.0,1024.1
2021-01-01 11:00:00,672.0,0.0,4639.0,-6.0,-6.0,100.0,0.0,50.0,16.6,1023.4
2021-01-01 12:00:00,677.0,0.0,4082.0,-6.0,-6.0,100.0,0.0,50.0,20.5,1022.2
2021-01-01 13:00:00,707.0,0.0,3355.0,-7.0,-7.0,100.0,0.0,50.0,27.7,1020.9
2021-01-01 14:00:00,730.0,6.0,3284.0,-7.0,-7.0,100.0,0.0,40.0,14.8,1020.6
2021-01-01 15:00:00,797.0,37.0,3703.0,-7.0,-7.0,100.0,0.0,40.0,22.3,1019.2
2021-01-01 16:00:00,837.0,105.0,3700.0,-6.0,-6.0,100.0,0.0,40.0,14.8,1018.7
2021-01-01 17:00:00,835.0,126.0,3109.0,-6.0,-6.0,100.0,0.0,30.0,13.0,1017.9
2021-01-01 18:00:00,768.0,154.0,2971.0,-6.0,-6.0,100.0,0.0,350.0,13.0,1017.1
2021-01-01 19:00:00,738.0,169.0,2988.0,-5.0,-6.0,93.0,0.0,360.0,18.4,1016.6
2021-01-01 20:00:00,736.0,164.0,2765.0,-5.0,-5.0,100.0,0.0,340.0,14.8,1016.3
2021-01-01 21:00:00,729.0,162.0,3106.0,-4.0,-5.0,93.0,0.0,340.0,16.6,1016.5
2021-01-01 22:00:00,769.0,103.0,3920.0,-4.0,-5.0,93.0,0.0,340.0,16.6,1017.0
2021-01-01 23:00:00,933.0,19.0,4779.0,-4.0,-5.0,93.0,0.0,340.0,18.4,1017.4
2021-01-02 00:00:00,1584.0,1.0,5252.0,-4.0,-5.0,93.0,0.0,350.0,16.6,1018.8
2021-01-02 01:00:00,917.0,1.0,5716.0,-5.0,-6.0,93.0,0.0,350.0,18.4,1019.1
2021-01-02 02:00:00,698.0,1.0,6082.0,-6.0,-6.0,100.0,0.0,350.0,16.6,1018.9
2021-01-02 03:00:00,731.0,1.0,5960.0,-6.0,-6.9,93.0,0.0,350.0,14.8,1018.8
