datetime,Net Generation (MW) from Coal_actual,avg_Net Generation (MW) from Coal_production_forecast
2023-07-01T00:00:00.000000000,30149.0,28411.52247
2023-07-01T01:00:00.000000000,30403.0,28265.46136
2023-07-01T02:00:00.000000000,29463.0,27230.4547
2023-07-01T03:00:00.000000000,29036.0,26663.95995
2023-07-01T04:00:00.000000000,28262.0,25409.70541
2023-07-01T05:00:00.000000000,27518.0,24749.97608
2023-07-01T06:00:00.000000000,26148.0,22864.89913
2023-07-01T07:00:00.000000000,23665.0,22017.14269
2023-07-01T08:00:00.000000000,21098.0,20630.72904
2023-07-01T09:00:00.000000000,19682.0,19187.77641
2023-07-01T10:00:00.000000000,19151.0,19816.68547
2023-07-01T11:00:00.000000000,19319.0,20196.51816
2023-07-01T12:00:00.000000000,18850.0,21125.31819
2023-07-01T13:00:00.000000000,19039.0,22211.24641
2023-07-01T14:00:00.000000000,21259.0,23220.60987
2023-07-01T15:00:00.000000000,24176.0,25214.7011
2023-07-01T16:00:00.000000000,25552.0,25896.82774
2023-07-01T17:00:00.000000000,26982.0,27039.55704
2023-07-01T18:00:00.000000000,27870.0,27781.5042
2023-07-01T19:00:00.000000000,28635.0,28222.62938
2023-07-01T20:00:00.000000000,29231.0,29196.81114
2023-07-01T21:00:00.000000000,29386.0,28852.71685
2023-07-01T22:00:00.000000000,29489.0,28961.03289
2023-07-01T23:00:00.000000000,29616.0,29715.50862
2023-07-02T00:00:00.000000000,29419.0,28712.39477
2023-07-02T01:00:00.000000000,28788.0,28383.61993
2023-07-02T02:00:00.000000000,27372.0,27420.52202
2023-07-02T03:00:00.000000000,25731.0,27103.86058
2023-07-02T04:00:00.000000000,25616.0,25913.35497
2023-07-02T05:00:00.000000000,25645.0,25025.613
2023-07-02T06:00:00.000000000,23827.0,22919.84451
2023-07-02T07:00:00.000000000,21644.0,22377.16976
2023-07-02T08:00:00.000000000,19855.0,20857.98681
2023-07-02T09:00:00.000000000,18713.0,19285.6387
2023-07-02T10:00:00.000000000,18373.0,19866.72007
2023-07-02T11:00:00.000000000,18333.0,20288.27028
2023-07-02T12:00:00.000000000,18073.0,21195.61867
2023-07-02T13:00:00.000000000,18605.0,22457.77512
2023-07-02T14:00:00.000000000,20915.0,23514.17051
2023-07-02T15:00:00.000000000,24085.0,25270.78611
2023-07-02T16:00:00.000000000,25693.0,26218.509
2023-07-02T17:00:00.000000000,26660.0,27603.26091
2023-07-02T18:00:00.000000000,28122.0,28320.94353
2023-07-02T19:00:00.000000000,28732.0,28780.83956
2023-07-02T20:00:00.000000000,28839.0,29779.61296
2023-07-02T21:00:00.000000000,29116.0,29353.7632
2023-07-02T22:00:00.000000000,29767.0,29493.68059
2023-07-02T23:00:00.000000000,30024.0,30056.98187
2023-07-03T00:00:00.000000000,30276.0,28220.86385
2023-07-03T01:00:00.000000000,30035.0,27831.61428
2023-07-03T02:00:00.000000000,28915.0,26883.06419
2023-07-03T03:00:00.000000000,27695.0,26550.01811
2023-07-03T04:00:00.000000000,27198.0,25284.93553
2023-07-03T05:00:00.000000000,24864.0,24336.90126
2023-07-03T06:00:00.000000000,21494.0,22305.63949
2023-07-03T07:00:00.000000000,18331.0,21773.79278
2023-07-03T08:00:00.000000000,16958.0,20277.16231
2023-07-03T09:00:00.000000000,16735.0,18762.6857
2023-07-03T10:00:00.000000000,16827.0,19449.29642
2023-07-03T11:00:00.000000000,17398.0,20019.40402
2023-07-03T12:00:00.000000000,18079.0,20973.52225
2023-07-03T13:00:00.000000000,19566.0,22160.80083
2023-07-03T14:00:00.000000000,22233.0,23163.71129
2023-07-03T15:00:00.000000000,25196.0,24923.87472
2023-07-03T16:00:00.000000000,27574.0,25776.41927
2023-07-03T17:00:00.000000000,29006.0,27120.57652
2023-07-03T18:00:00.000000000,29763.0,27802.94011
2023-07-03T19:00:00.000000000,30458.0,28163.68325
2023-07-03T20:00:00.000000000,31063.0,29229.43994
2023-07-03T21:00:00.000000000,31422.0,28787.48442
2023-07-03T22:00:00.000000000,31745.0,28961.08741
2023-07-03T23:00:00.000000000,32007.0,29623.53109
2023-07-04T00:00:00.000000000,32035.0,29534.43252
2023-07-04T01:00:00.000000000,31423.0,29187.16781
2023-07-04T02:00:00.000000000,30271.0,27794.11664
2023-07-04T03:00:00.000000000,28859.0,27088.39225
