datetime,coal_actual,avg_coal_production_forecast
2023-07-01T00:00:00.000000000,30149.0,28998.91845
2023-07-01T01:00:00.000000000,30403.0,27412.2668
2023-07-01T02:00:00.000000000,29463.0,27522.03594
2023-07-01T03:00:00.000000000,29036.0,25687.60796
2023-07-01T04:00:00.000000000,28262.0,24797.67271
2023-07-01T05:00:00.000000000,27518.0,23556.84733
2023-07-01T06:00:00.000000000,26148.0,23476.34472
2023-07-01T07:00:00.000000000,23665.0,22031.78382
2023-07-01T08:00:00.000000000,21098.0,19665.35816
2023-07-01T09:00:00.000000000,19682.0,20402.17647
2023-07-01T10:00:00.000000000,19151.0,20100.47383
2023-07-01T11:00:00.000000000,19319.0,21428.34289
2023-07-01T12:00:00.000000000,18850.0,22865.64979
2023-07-01T13:00:00.000000000,19039.0,23249.43501
2023-07-01T14:00:00.000000000,21259.0,24954.27669
2023-07-01T15:00:00.000000000,24176.0,26677.98775
2023-07-01T16:00:00.000000000,25552.0,27216.64707
2023-07-01T17:00:00.000000000,26982.0,28362.03515
2023-07-01T18:00:00.000000000,27870.0,28044.81595
2023-07-01T19:00:00.000000000,28635.0,28474.27436
2023-07-01T20:00:00.000000000,29231.0,28620.29563
2023-07-01T21:00:00.000000000,29386.0,28761.21531
2023-07-01T22:00:00.000000000,29489.0,28895.64948
2023-07-01T23:00:00.000000000,29616.0,28339.28033
2023-07-02T00:00:00.000000000,29419.0,28245.36743
2023-07-02T01:00:00.000000000,28788.0,26799.02108
2023-07-02T02:00:00.000000000,27372.0,27249.57571
2023-07-02T03:00:00.000000000,25731.0,25872.84628
2023-07-02T04:00:00.000000000,25616.0,24501.13666
2023-07-02T05:00:00.000000000,25645.0,23827.57033
2023-07-02T06:00:00.000000000,23827.0,23391.06657
2023-07-02T07:00:00.000000000,21644.0,22504.59423
2023-07-02T08:00:00.000000000,19855.0,20066.34999
2023-07-02T09:00:00.000000000,18713.0,20297.39988
2023-07-02T10:00:00.000000000,18373.0,20165.96313
2023-07-02T11:00:00.000000000,18333.0,20831.74916
2023-07-02T12:00:00.000000000,18073.0,21970.09608
2023-07-02T13:00:00.000000000,18605.0,22354.90979
2023-07-02T14:00:00.000000000,20915.0,24335.63268
2023-07-02T15:00:00.000000000,24085.0,26432.09229
2023-07-02T16:00:00.000000000,25693.0,26969.86045
2023-07-02T17:00:00.000000000,26660.0,27992.73694
2023-07-02T18:00:00.000000000,28122.0,28039.38515
2023-07-02T19:00:00.000000000,28732.0,28217.15036
2023-07-02T20:00:00.000000000,28839.0,28976.98559
2023-07-02T21:00:00.000000000,29116.0,29126.8818
2023-07-02T22:00:00.000000000,29767.0,29115.44568
2023-07-02T23:00:00.000000000,30024.0,28695.25946
2023-07-03T00:00:00.000000000,30276.0,27810.20773
2023-07-03T01:00:00.000000000,30035.0,26276.08171
2023-07-03T02:00:00.000000000,28915.0,26609.22006
2023-07-03T03:00:00.000000000,27695.0,25218.23217
2023-07-03T04:00:00.000000000,27198.0,23998.46737
2023-07-03T05:00:00.000000000,24864.0,23327.50321
2023-07-03T06:00:00.000000000,21494.0,22768.97327
2023-07-03T07:00:00.000000000,18331.0,21854.19894
2023-07-03T08:00:00.000000000,16958.0,19409.30565
2023-07-03T09:00:00.000000000,16735.0,19777.63931
2023-07-03T10:00:00.000000000,16827.0,19684.82829
2023-07-03T11:00:00.000000000,17398.0,20488.25037
2023-07-03T12:00:00.000000000,18079.0,21697.15358
2023-07-03T13:00:00.000000000,19566.0,22127.15926
2023-07-03T14:00:00.000000000,22233.0,24022.03471
2023-07-03T15:00:00.000000000,25196.0,25963.08973
2023-07-03T16:00:00.000000000,27574.0,26644.85362
2023-07-03T17:00:00.000000000,29006.0,27456.96286
2023-07-03T18:00:00.000000000,29763.0,27429.02468
2023-07-03T19:00:00.000000000,30458.0,27771.14585
2023-07-03T20:00:00.000000000,31063.0,28425.14769
2023-07-03T21:00:00.000000000,31422.0,28419.92658
2023-07-03T22:00:00.000000000,31745.0,28508.17174
2023-07-03T23:00:00.000000000,32007.0,28098.31032
2023-07-04T00:00:00.000000000,32035.0,29762.27845
2023-07-04T01:00:00.000000000,31423.0,27940.04775
2023-07-04T02:00:00.000000000,30271.0,27653.7044
2023-07-04T03:00:00.000000000,28859.0,26300.82433
2023-07-04T04:00:00.000000000,27893.0,25294.89234
2023-07-04T05:00:00.000000000,26011.0,23964.45466
2023-07-04T06:00:00.000000000,23939.0,23505.82827
2023-07-04T07:00:00.000000000,21392.0,22190.33785
2023-07-04T08:00:00.000000000,19531.0,19245.21493
2023-07-04T09:00:00.000000000,18420.0,20436.20386
2023-07-04T10:00:00.000000000,17902.0,19866.90039
2023-07-04T11:00:00.000000000,18043.0,21453.03832
2023-07-04T12:00:00.000000000,18297.0,22409.99776
2023-07-04T13:00:00.000000000,19083.0,22675.74812
2023-07-04T14:00:00.000000000,20256.0,24582.21171
2023-07-04T15:00:00.000000000,22538.0,26290.3213
2023-07-04T16:00:00.000000000,26388.0,27255.10506
2023-07-04T17:00:00.000000000,29213.0,27750.21527
2023-07-04T18:00:00.000000000,31325.0,28247.82491
2023-07-04T19:00:00.000000000,32232.0,28824.30478
2023-07-04T20:00:00.000000000,32363.0,28582.40168
2023-07-04T21:00:00.000000000,32744.0,28924.90658
2023-07-04T22:00:00.000000000,33539.0,29193.69316
2023-07-04T23:00:00.000000000,33859.0,28960.7603
2023-07-05T00:00:00.000000000,33287.0,30407.6728
2023-07-05T01:00:00.000000000,32847.0,28719.21367
2023-07-05T02:00:00.000000000,31510.0,28439.47534
2023-07-05T03:00:00.000000000,30177.0,27266.77183
2023-07-05T04:00:00.000000000,29385.0,26315.42876
2023-07-05T05:00:00.000000000,27739.0,25135.99757
2023-07-05T06:00:00.000000000,24363.0,24693.50106
2023-07-05T07:00:00.000000000,20249.0,23524.05288
2023-07-05T08:00:00.000000000,18943.0,20547.19545
