datetime,nat_gas_actual,avg_nat_gas_production_forecast
2023-07-01T00:00:00.000000000,52282.0,51799.34496
2023-07-01T01:00:00.000000000,50735.0,49278.65653
2023-07-01T02:00:00.000000000,48219.0,44988.06731
2023-07-01T03:00:00.000000000,45454.0,41219.64474
2023-07-01T04:00:00.000000000,41124.0,37302.33491
2023-07-01T05:00:00.000000000,37904.0,33809.19024
2023-07-01T06:00:00.000000000,34683.0,29617.07478
2023-07-01T07:00:00.000000000,31534.0,27833.88504
2023-07-01T08:00:00.000000000,30163.0,24884.06201
2023-07-01T09:00:00.000000000,29187.0,25988.46059
2023-07-01T10:00:00.000000000,29102.0,25399.96053
2023-07-01T11:00:00.000000000,29079.0,27008.36799
2023-07-01T12:00:00.000000000,28559.0,30559.31995
2023-07-01T13:00:00.000000000,29466.0,32721.69634
2023-07-01T14:00:00.000000000,31862.0,36912.86191
2023-07-01T15:00:00.000000000,34170.0,41551.37083
2023-07-01T16:00:00.000000000,37052.0,44018.07432
2023-07-01T17:00:00.000000000,39757.0,46616.27203
2023-07-01T18:00:00.000000000,41425.0,48540.44275
2023-07-01T19:00:00.000000000,42915.0,49520.33168
2023-07-01T20:00:00.000000000,43532.0,50283.45437
2023-07-01T21:00:00.000000000,43490.0,51057.12772
2023-07-01T22:00:00.000000000,43491.0,49826.05945
2023-07-01T23:00:00.000000000,43273.0,50294.93613
2023-07-02T00:00:00.000000000,42835.0,41552.25363
2023-07-02T01:00:00.000000000,41779.0,38730.47146
2023-07-02T02:00:00.000000000,39792.0,37096.50304
2023-07-02T03:00:00.000000000,37717.0,32644.14412
2023-07-02T04:00:00.000000000,35255.0,32684.4819
2023-07-02T05:00:00.000000000,32647.0,27821.1636
2023-07-02T06:00:00.000000000,30064.0,25158.81801
2023-07-02T07:00:00.000000000,28112.0,22868.58592
2023-07-02T08:00:00.000000000,27453.0,21418.92275
2023-07-02T09:00:00.000000000,26303.0,20059.86462
2023-07-02T10:00:00.000000000,25802.0,19131.78852
2023-07-02T11:00:00.000000000,25911.0,21655.49833
2023-07-02T12:00:00.000000000,25065.0,22199.93891
2023-07-02T13:00:00.000000000,26581.0,25850.38964
2023-07-02T14:00:00.000000000,28912.0,28753.66711
2023-07-02T15:00:00.000000000,30677.0,33409.15047
2023-07-02T16:00:00.000000000,32757.0,36305.57887
2023-07-02T17:00:00.000000000,34526.0,39370.93865
2023-07-02T18:00:00.000000000,36595.0,40945.01621
2023-07-02T19:00:00.000000000,38692.0,43849.85669
2023-07-02T20:00:00.000000000,38919.0,45362.25365
2023-07-02T21:00:00.000000000,39137.0,45596.84762
2023-07-02T22:00:00.000000000,40145.0,45164.71312
2023-07-02T23:00:00.000000000,40523.0,43313.23788
2023-07-03T00:00:00.000000000,39945.0,36981.72029
2023-07-03T01:00:00.000000000,38917.0,34464.0264
2023-07-03T02:00:00.000000000,37181.0,32848.56995
2023-07-03T03:00:00.000000000,35517.0,28709.05755
2023-07-03T04:00:00.000000000,33310.0,28798.16264
2023-07-03T05:00:00.000000000,29755.0,24324.27038
2023-07-03T06:00:00.000000000,27188.0,22124.40452
2023-07-03T07:00:00.000000000,26097.0,20119.39055
2023-07-03T08:00:00.000000000,24763.0,18961.92738
2023-07-03T09:00:00.000000000,23835.0,17986.57856
2023-07-03T10:00:00.000000000,24147.0,17458.80183
2023-07-03T11:00:00.000000000,25208.0,19697.69535
2023-07-03T12:00:00.000000000,26292.0,20507.03221
2023-07-03T13:00:00.000000000,29008.0,23806.18633
2023-07-03T14:00:00.000000000,31368.0,26651.09303
2023-07-03T15:00:00.000000000,33979.0,30986.94386
2023-07-03T16:00:00.000000000,36580.0,33557.69159
2023-07-03T17:00:00.000000000,39456.0,36390.49669
2023-07-03T18:00:00.000000000,41429.0,37859.58548
2023-07-03T19:00:00.000000000,43632.0,40384.84891
2023-07-03T20:00:00.000000000,44852.0,41698.32345
2023-07-03T21:00:00.000000000,45997.0,42001.70067
2023-07-03T22:00:00.000000000,46807.0,41476.6307
2023-07-03T23:00:00.000000000,46806.0,39687.04267
2023-07-04T00:00:00.000000000,45812.0,43783.21738
2023-07-04T01:00:00.000000000,44635.0,41713.3069
2023-07-04T02:00:00.000000000,42177.0,37488.37222
2023-07-04T03:00:00.000000000,39299.0,34108.6123
2023-07-04T04:00:00.000000000,35874.0,30223.34891
2023-07-04T05:00:00.000000000,32118.0,27336.11478
2023-07-04T06:00:00.000000000,28932.0,23590.89858
2023-07-04T07:00:00.000000000,27186.0,22261.73086
2023-07-04T08:00:00.000000000,26370.0,19636.4803
2023-07-04T09:00:00.000000000,24855.0,20965.83853
2023-07-04T10:00:00.000000000,23605.0,20829.43121
2023-07-04T11:00:00.000000000,23296.0,22242.81104
2023-07-04T12:00:00.000000000,22308.0,26033.3841
2023-07-04T13:00:00.000000000,23554.0,27905.87078
2023-07-04T14:00:00.000000000,27381.0,31862.07746
2023-07-04T15:00:00.000000000,31190.0,36182.99045
2023-07-04T16:00:00.000000000,33871.0,38390.19643
2023-07-04T17:00:00.000000000,36665.0,40743.55003
2023-07-04T18:00:00.000000000,38292.0,42312.32006
2023-07-04T19:00:00.000000000,39742.0,43052.01502
2023-07-04T20:00:00.000000000,40076.0,43562.04787
2023-07-04T21:00:00.000000000,40634.0,44452.73647
2023-07-04T22:00:00.000000000,41288.0,43582.22615
2023-07-04T23:00:00.000000000,40985.0,43876.2253
2023-07-05T00:00:00.000000000,39945.0,41574.40681
2023-07-05T01:00:00.000000000,39254.0,39804.79313
2023-07-05T02:00:00.000000000,37638.0,36230.80117
2023-07-05T03:00:00.000000000,35852.0,32936.11471
2023-07-05T04:00:00.000000000,33219.0,29187.22644
2023-07-05T05:00:00.000000000,30534.0,26181.25172
2023-07-05T06:00:00.000000000,27353.0,22386.88718
2023-07-05T07:00:00.000000000,25939.0,20361.02411
2023-07-05T08:00:00.000000000,26220.0,17770.83599
2023-07-05T09:00:00.000000000,26102.0,18340.57992
2023-07-05T10:00:00.000000000,26026.0,18105.59687
2023-07-05T11:00:00.000000000,26596.0,19022.16706
2023-07-05T12:00:00.000000000,27660.0,22381.8037
2023-07-05T13:00:00.000000000,29670.0,24233.37018
2023-07-05T14:00:00.000000000,32283.0,27540.51244
2023-07-05T15:00:00.000000000,35192.0,31614.08855
2023-07-05T16:00:00.000000000,38502.0,33989.74023
2023-07-05T17:00:00.000000000,42738.0,36348.19475
2023-07-05T18:00:00.000000000,45640.0,38158.19183
2023-07-05T19:00:00.000000000,46542.0,39326.02051
2023-07-05T20:00:00.000000000,46620.0,40253.90744
2023-07-05T21:00:00.000000000,46547.0,41422.80138
2023-07-05T22:00:00.000000000,46138.0,40886.3382
2023-07-05T23:00:00.000000000,45799.0,41504.40803
2023-07-06T00:00:00.000000000,44657.0,44087.07491
2023-07-06T01:00:00.000000000,43097.0,41861.45894
2023-07-06T02:00:00.000000000,41133.0,38048.61733
2023-07-06T03:00:00.000000000,38892.0,34258.0067
2023-07-06T04:00:00.000000000,34813.0,30827.3342
2023-07-06T05:00:00.000000000,31747.0,27578.60833
2023-07-06T06:00:00.000000000,29344.0,24293.87282
2023-07-06T07:00:00.000000000,28309.0,22686.03957
2023-07-06T08:00:00.000000000,27255.0,20369.98895
2023-07-06T09:00:00.000000000,26815.0,21818.17363
2023-07-06T10:00:00.000000000,27237.0,21901.54186
2023-07-06T11:00:00.000000000,27608.0,23381.27657
2023-07-06T12:00:00.000000000,29096.0,27351.98773
2023-07-06T13:00:00.000000000,30541.0,29289.89014
2023-07-06T14:00:00.000000000,32868.0,33250.74561
2023-07-06T15:00:00.000000000,34555.0,37700.66811
2023-07-06T16:00:00.000000000,35906.0,39707.62344
2023-07-06T17:00:00.000000000,37937.0,41993.7984
2023-07-06T18:00:00.000000000,39659.0,43844.94629
2023-07-06T19:00:00.000000000,40208.0,44067.46817
2023-07-06T20:00:00.000000000,41236.0,44639.24603
2023-07-06T21:00:00.000000000,42136.0,45312.00383
2023-07-06T22:00:00.000000000,42657.0,43772.64257
2023-07-06T23:00:00.000000000,42937.0,44274.18284
2023-07-07T00:00:00.000000000,42627.0,41970.90732
2023-07-07T01:00:00.000000000,41416.0,39910.03413
2023-07-07T02:00:00.000000000,40597.0,36104.94452
2023-07-07T03:00:00.000000000,38064.0,33176.98488
2023-07-07T04:00:00.000000000,34098.0,29509.56909
2023-07-07T05:00:00.000000000,31069.0,27171.53434
2023-07-07T06:00:00.000000000,29417.0,23447.3175
2023-07-07T07:00:00.000000000,28270.0,22282.3975
2023-07-07T08:00:00.000000000,27513.0,20093.45529
2023-07-07T09:00:00.000000000,26989.0,20993.17581
2023-07-07T10:00:00.000000000,26770.0,20797.40222
2023-07-07T11:00:00.000000000,27155.0,22357.67429
2023-07-07T12:00:00.000000000,27504.0,25604.54333
2023-07-07T13:00:00.000000000,28311.0,27643.49009
2023-07-07T14:00:00.000000000,30892.0,30984.88309
2023-07-07T15:00:00.000000000,33545.0,34793.30534
2023-07-07T16:00:00.000000000,35648.0,37107.37034
2023-07-07T17:00:00.000000000,37002.0,39095.16703
2023-07-07T18:00:00.000000000,37853.0,40236.43122
2023-07-07T19:00:00.000000000,39579.0,41254.94063
2023-07-07T20:00:00.000000000,40618.0,41529.11838
2023-07-07T21:00:00.000000000,41209.0,41925.62963
2023-07-07T22:00:00.000000000,41059.0,41547.81548
2023-07-07T23:00:00.000000000,41014.0,41605.18405
2023-07-08T00:00:00.000000000,40862.0,40804.67251
2023-07-08T01:00:00.000000000,39631.0,38852.4615
