datetime,others_actual,avg_others_production_forecast
2023-07-01T00:00:00.000000000,679.0,673.09438
2023-07-01T01:00:00.000000000,674.0,683.3009
2023-07-01T02:00:00.000000000,655.0,646.02513
2023-07-01T03:00:00.000000000,619.0,637.28295
2023-07-01T04:00:00.000000000,609.0,624.01546
2023-07-01T05:00:00.000000000,610.0,615.55859
2023-07-01T06:00:00.000000000,620.0,565.58069
2023-07-01T07:00:00.000000000,604.0,559.70911
2023-07-01T08:00:00.000000000,591.0,565.38418
2023-07-01T09:00:00.000000000,598.0,567.26435
2023-07-01T10:00:00.000000000,597.0,591.23852
2023-07-01T11:00:00.000000000,598.0,596.04771
2023-07-01T12:00:00.000000000,594.0,608.6749
2023-07-01T13:00:00.000000000,595.0,615.77669
2023-07-01T14:00:00.000000000,594.0,625.94297
2023-07-01T15:00:00.000000000,593.0,653.5467
2023-07-01T16:00:00.000000000,596.0,665.90109
2023-07-01T17:00:00.000000000,616.0,694.98621
2023-07-01T18:00:00.000000000,621.0,726.49634
2023-07-01T19:00:00.000000000,617.0,723.83194
2023-07-01T20:00:00.000000000,602.0,731.96761
2023-07-01T21:00:00.000000000,613.0,739.71449
2023-07-01T22:00:00.000000000,617.0,719.92297
2023-07-01T23:00:00.000000000,614.0,695.95685
2023-07-02T00:00:00.000000000,621.0,589.10191
2023-07-02T01:00:00.000000000,622.0,607.63035
2023-07-02T02:00:00.000000000,605.0,575.36131
2023-07-02T03:00:00.000000000,587.0,565.70595
2023-07-02T04:00:00.000000000,589.0,555.77324
2023-07-02T05:00:00.000000000,591.0,549.18813
2023-07-02T06:00:00.000000000,596.0,506.64449
2023-07-02T07:00:00.000000000,582.0,493.32101
2023-07-02T08:00:00.000000000,584.0,494.7816
2023-07-02T09:00:00.000000000,586.0,490.73346
2023-07-02T10:00:00.000000000,590.0,529.60608
2023-07-02T11:00:00.000000000,594.0,538.49256
2023-07-02T12:00:00.000000000,592.0,544.06231
2023-07-02T13:00:00.000000000,594.0,551.61072
2023-07-02T14:00:00.000000000,590.0,565.75954
2023-07-02T15:00:00.000000000,587.0,585.41619
2023-07-02T16:00:00.000000000,587.0,592.59288
2023-07-02T17:00:00.000000000,589.0,628.09019
2023-07-02T18:00:00.000000000,589.0,647.23955
2023-07-02T19:00:00.000000000,602.0,654.63669
2023-07-02T20:00:00.000000000,598.0,662.17184
2023-07-02T21:00:00.000000000,575.0,667.74539
2023-07-02T22:00:00.000000000,568.0,653.02128
2023-07-02T23:00:00.000000000,568.0,615.33317
2023-07-03T00:00:00.000000000,576.0,562.01102
2023-07-03T01:00:00.000000000,596.0,580.01824
2023-07-03T02:00:00.000000000,605.0,549.36164
2023-07-03T03:00:00.000000000,600.0,540.51205
2023-07-03T04:00:00.000000000,586.0,534.56415
2023-07-03T05:00:00.000000000,591.0,526.51111
2023-07-03T06:00:00.000000000,596.0,486.96276
2023-07-03T07:00:00.000000000,598.0,472.68349
2023-07-03T08:00:00.000000000,591.0,476.39555
2023-07-03T09:00:00.000000000,581.0,469.50614
2023-07-03T10:00:00.000000000,578.0,510.21227
2023-07-03T11:00:00.000000000,589.0,521.51934
2023-07-03T12:00:00.000000000,604.0,524.50278
2023-07-03T13:00:00.000000000,611.0,529.49519
2023-07-03T14:00:00.000000000,608.0,543.1511
2023-07-03T15:00:00.000000000,603.0,560.8766
2023-07-03T16:00:00.000000000,603.0,568.08058
2023-07-03T17:00:00.000000000,602.0,603.18853
2023-07-03T18:00:00.000000000,629.0,620.01212
2023-07-03T19:00:00.000000000,641.0,627.63224
2023-07-03T20:00:00.000000000,660.0,638.89133
2023-07-03T21:00:00.000000000,678.0,640.49179
2023-07-03T22:00:00.000000000,684.0,628.49092
2023-07-03T23:00:00.000000000,683.0,590.95093
2023-07-04T00:00:00.000000000,664.0,636.05966
2023-07-04T01:00:00.000000000,653.0,646.63638
2023-07-04T02:00:00.000000000,639.0,611.88985
2023-07-04T03:00:00.000000000,625.0,598.88662
2023-07-04T04:00:00.000000000,632.0,590.57873
2023-07-04T05:00:00.000000000,631.0,583.27597
2023-07-04T06:00:00.000000000,633.0,534.9024
2023-07-04T07:00:00.000000000,642.0,526.52291
2023-07-04T08:00:00.000000000,641.0,533.57567
2023-07-04T09:00:00.000000000,631.0,532.74646
2023-07-04T10:00:00.000000000,622.0,563.08978
2023-07-04T11:00:00.000000000,618.0,569.62494
2023-07-04T12:00:00.000000000,615.0,581.12655
2023-07-04T13:00:00.000000000,630.0,588.41291
2023-07-04T14:00:00.000000000,655.0,598.95034
2023-07-04T15:00:00.000000000,642.0,620.96399
2023-07-04T16:00:00.000000000,640.0,637.17705
2023-07-04T17:00:00.000000000,629.0,668.9752
2023-07-04T18:00:00.000000000,605.0,695.22847
2023-07-04T19:00:00.000000000,629.0,697.52203
2023-07-04T20:00:00.000000000,646.0,703.94
2023-07-04T21:00:00.000000000,659.0,709.18278
2023-07-04T22:00:00.000000000,686.0,692.27287
2023-07-04T23:00:00.000000000,683.0,659.50947
2023-07-05T00:00:00.000000000,657.0,658.14405
2023-07-05T01:00:00.000000000,641.0,669.02157
2023-07-05T02:00:00.000000000,603.0,631.18321
2023-07-05T03:00:00.000000000,562.0,618.643
2023-07-05T04:00:00.000000000,561.0,611.01441
2023-07-05T05:00:00.000000000,651.0,601.97334
2023-07-05T06:00:00.000000000,732.0,552.33856
2023-07-05T07:00:00.000000000,743.0,543.5699
2023-07-05T08:00:00.000000000,742.0,553.9347
2023-07-05T09:00:00.000000000,745.0,552.93073
2023-07-05T10:00:00.000000000,749.0,580.20894
2023-07-05T11:00:00.000000000,751.0,587.85305
2023-07-05T12:00:00.000000000,745.0,598.33074
2023-07-05T13:00:00.000000000,757.0,605.77321
2023-07-05T14:00:00.000000000,781.0,616.22044
2023-07-05T15:00:00.000000000,808.0,640.11541
2023-07-05T16:00:00.000000000,818.0,657.017
2023-07-05T17:00:00.000000000,830.0,687.30554
2023-07-05T18:00:00.000000000,858.0,717.15697
2023-07-05T19:00:00.000000000,874.0,716.62581
2023-07-05T20:00:00.000000000,866.0,722.40217
2023-07-05T21:00:00.000000000,867.0,729.37326
2023-07-05T22:00:00.000000000,878.0,711.24017
2023-07-05T23:00:00.000000000,854.0,682.15641
2023-07-06T00:00:00.000000000,830.0,798.87315
2023-07-06T01:00:00.000000000,819.0,817.3457
2023-07-06T02:00:00.000000000,813.0,774.41442
2023-07-06T03:00:00.000000000,816.0,761.31712
2023-07-06T04:00:00.000000000,809.0,759.88849
2023-07-06T05:00:00.000000000,787.0,748.08424
2023-07-06T06:00:00.000000000,803.0,691.72427
2023-07-06T07:00:00.000000000,785.0,679.87344
2023-07-06T08:00:00.000000000,766.0,696.92884
2023-07-06T09:00:00.000000000,763.0,699.15782
2023-07-06T10:00:00.000000000,768.0,723.33736
2023-07-06T11:00:00.000000000,772.0,729.26122
2023-07-06T12:00:00.000000000,770.0,739.75931
2023-07-06T13:00:00.000000000,771.0,744.11719
2023-07-06T14:00:00.000000000,778.0,746.59346
2023-07-06T15:00:00.000000000,805.0,778.85494
2023-07-06T16:00:00.000000000,819.0,799.56906
2023-07-06T17:00:00.000000000,805.0,824.81402
2023-07-06T18:00:00.000000000,819.0,860.92091
2023-07-06T19:00:00.000000000,799.0,857.90745
2023-07-06T20:00:00.000000000,779.0,867.86519
2023-07-06T21:00:00.000000000,767.0,868.78729
2023-07-06T22:00:00.000000000,768.0,851.81093
2023-07-06T23:00:00.000000000,773.0,820.67165
2023-07-07T00:00:00.000000000,775.0,794.71226
2023-07-07T01:00:00.000000000,776.0,816.35813
2023-07-07T02:00:00.000000000,780.0,774.27404
2023-07-07T03:00:00.000000000,767.0,763.9204
2023-07-07T04:00:00.000000000,764.0,756.49735
2023-07-07T05:00:00.000000000,769.0,745.47951
2023-07-07T06:00:00.000000000,760.0,688.87795
2023-07-07T07:00:00.000000000,761.0,674.52643
2023-07-07T08:00:00.000000000,759.0,686.71411
2023-07-07T09:00:00.000000000,768.0,686.78681
2023-07-07T10:00:00.000000000,768.0,711.70613
2023-07-07T11:00:00.000000000,764.0,715.86408
2023-07-07T12:00:00.000000000,763.0,726.68493
2023-07-07T13:00:00.000000000,753.0,731.46982
2023-07-07T14:00:00.000000000,759.0,732.78365
2023-07-07T15:00:00.000000000,765.0,768.16166
2023-07-07T16:00:00.000000000,758.0,783.23783
2023-07-07T17:00:00.000000000,775.0,811.68991
2023-07-07T18:00:00.000000000,785.0,844.89415
2023-07-07T19:00:00.000000000,814.0,846.78304
2023-07-07T20:00:00.000000000,811.0,858.15711
2023-07-07T21:00:00.000000000,817.0,863.24015
2023-07-07T22:00:00.000000000,827.0,846.5567
2023-07-07T23:00:00.000000000,808.0,820.0841
2023-07-08T00:00:00.000000000,806.0,797.85086
2023-07-08T01:00:00.000000000,803.0,817.94233
2023-07-08T02:00:00.000000000,792.0,775.95319
2023-07-08T03:00:00.000000000,778.0,764.01568
2023-07-08T04:00:00.000000000,777.0,756.67476
2023-07-08T05:00:00.000000000,779.0,744.4649
2023-07-08T06:00:00.000000000,778.0,687.99277
2023-07-08T07:00:00.000000000,762.0,674.36415
2023-07-08T08:00:00.000000000,766.0,686.55911
2023-07-08T09:00:00.000000000,766.0,687.38496
2023-07-08T10:00:00.000000000,769.0,710.34201
2023-07-08T11:00:00.000000000,770.0,714.00431
2023-07-08T12:00:00.000000000,767.0,725.80116
2023-07-08T13:00:00.000000000,787.0,730.32358
2023-07-08T14:00:00.000000000,721.0,732.23833
2023-07-08T15:00:00.000000000,600.0,767.49272
2023-07-08T16:00:00.000000000,598.0,785.35883
2023-07-08T17:00:00.000000000,602.0,813.19881
2023-07-08T18:00:00.000000000,596.0,847.39373
2023-07-08T19:00:00.000000000,595.0,848.75915
2023-07-08T20:00:00.000000000,593.0,860.97443
2023-07-08T21:00:00.000000000,604.0,864.84439
2023-07-08T22:00:00.000000000,613.0,849.31384
2023-07-08T23:00:00.000000000,611.0,822.64719
2023-07-09T00:00:00.000000000,617.0,658.17098
2023-07-09T01:00:00.000000000,617.0,682.88851
2023-07-09T02:00:00.000000000,608.0,641.46215
2023-07-09T03:00:00.000000000,611.0,633.0723
2023-07-09T04:00:00.000000000,613.0,629.22697
2023-07-09T05:00:00.000000000,614.0,614.83219
2023-07-09T06:00:00.000000000,611.0,568.36456
2023-07-09T07:00:00.000000000,609.0,549.8175
2023-07-09T08:00:00.000000000,613.0,562.57138
2023-07-09T09:00:00.000000000,615.0,555.52152
2023-07-09T10:00:00.000000000,603.0,588.29765
2023-07-09T11:00:00.000000000,609.0,601.10899
2023-07-09T12:00:00.000000000,609.0,601.1962
2023-07-09T13:00:00.000000000,615.0,606.46387
2023-07-09T14:00:00.000000000,617.0,617.09055
2023-07-09T15:00:00.000000000,606.0,643.80546
2023-07-09T16:00:00.000000000,596.0,655.04056
2023-07-09T17:00:00.000000000,607.0,686.90427
2023-07-09T18:00:00.000000000,622.0,714.46965
2023-07-09T19:00:00.000000000,615.0,717.16453
2023-07-09T20:00:00.000000000,618.0,729.4143
2023-07-09T21:00:00.000000000,617.0,734.43378
2023-07-09T22:00:00.000000000,617.0,721.36691
2023-07-09T23:00:00.000000000,627.0,690.89469
2023-07-10T00:00:00.000000000,631.0,592.03717
2023-07-10T01:00:00.000000000,635.0,613.09375
2023-07-10T02:00:00.000000000,626.0,579.93021
2023-07-10T03:00:00.000000000,614.0,569.1189
2023-07-10T04:00:00.000000000,616.0,562.79237
2023-07-10T05:00:00.000000000,601.0,554.79899
2023-07-10T06:00:00.000000000,584.0,511.59652
2023-07-10T07:00:00.000000000,588.0,495.06899
2023-07-10T08:00:00.000000000,578.0,500.78738
2023-07-10T09:00:00.000000000,563.0,493.29798
2023-07-10T10:00:00.000000000,556.0,535.87024
2023-07-10T11:00:00.000000000,563.0,548.17397
2023-07-10T12:00:00.000000000,567.0,550.86434
2023-07-10T13:00:00.000000000,561.0,558.12719
2023-07-10T14:00:00.000000000,585.0,570.56572
2023-07-10T15:00:00.000000000,609.0,590.61116
2023-07-10T16:00:00.000000000,613.0,599.79912
2023-07-10T17:00:00.000000000,604.0,636.26201
2023-07-10T18:00:00.000000000,604.0,653.39692
2023-07-10T19:00:00.000000000,619.0,663.41556
2023-07-10T20:00:00.000000000,643.0,671.86276
2023-07-10T21:00:00.000000000,663.0,675.26169
2023-07-10T22:00:00.000000000,666.0,662.72292
2023-07-10T23:00:00.000000000,660.0,622.39872
2023-07-11T00:00:00.000000000,666.0,626.19449
2023-07-11T01:00:00.000000000,666.0,635.77771
2023-07-11T02:00:00.000000000,658.0,604.0734
2023-07-11T03:00:00.000000000,653.0,589.37164
2023-07-11T04:00:00.000000000,633.0,579.40606
2023-07-11T05:00:00.000000000,631.0,574.03554
2023-07-11T06:00:00.000000000,634.0,526.43265
2023-07-11T07:00:00.000000000,632.0,518.75743
2023-07-11T08:00:00.000000000,625.0,521.97147
