datetime,solar_actual,avg_solar_production_forecast
2023-07-01T00:00:00.000000000,1183.0,840.97764
2023-07-01T01:00:00.000000000,458.0,347.65897
2023-07-01T02:00:00.000000000,35.0,179.85253
2023-07-01T03:00:00.000000000,1.0,101.66973
2023-07-01T04:00:00.000000000,1.0,33.59672
2023-07-01T05:00:00.000000000,1.0,102.4834
2023-07-01T06:00:00.000000000,1.0,132.16422
2023-07-01T07:00:00.000000000,1.0,0.0
2023-07-01T08:00:00.000000000,1.0,113.26895
2023-07-01T09:00:00.000000000,1.0,68.57466
2023-07-01T10:00:00.000000000,1.0,163.19035
2023-07-01T11:00:00.000000000,12.0,251.60585
2023-07-01T12:00:00.000000000,206.0,465.50259
2023-07-01T13:00:00.000000000,616.0,1012.67235
2023-07-01T14:00:00.000000000,952.0,1652.32856
2023-07-01T15:00:00.000000000,1416.0,1999.30778
2023-07-01T16:00:00.000000000,1659.0,2208.03825
2023-07-01T17:00:00.000000000,1899.0,2158.39282
2023-07-01T18:00:00.000000000,1932.0,2250.65949
2023-07-01T19:00:00.000000000,2083.0,2211.82098
2023-07-01T20:00:00.000000000,1856.0,2126.1828
2023-07-01T21:00:00.000000000,1859.0,1962.46834
2023-07-01T22:00:00.000000000,1524.0,1844.7938
2023-07-01T23:00:00.000000000,1161.0,1339.34978
2023-07-02T00:00:00.000000000,599.0,721.17558
2023-07-02T01:00:00.000000000,258.0,328.86162
2023-07-02T02:00:00.000000000,24.0,167.25156
2023-07-02T03:00:00.000000000,2.0,60.18192
2023-07-02T04:00:00.000000000,2.0,0.0
2023-07-02T05:00:00.000000000,2.0,16.05806
2023-07-02T06:00:00.000000000,1.0,0.0
2023-07-02T07:00:00.000000000,2.0,0.0
2023-07-02T08:00:00.000000000,2.0,24.51655
2023-07-02T09:00:00.000000000,1.0,37.45386
2023-07-02T10:00:00.000000000,1.0,0.0
2023-07-02T11:00:00.000000000,6.0,27.71085
2023-07-02T12:00:00.000000000,248.0,218.6948
2023-07-02T13:00:00.000000000,882.0,608.59326
2023-07-02T14:00:00.000000000,1330.0,1092.04958
2023-07-02T15:00:00.000000000,1625.0,1485.53364
2023-07-02T16:00:00.000000000,1937.0,1766.49499
2023-07-02T17:00:00.000000000,2088.0,1846.60366
2023-07-02T18:00:00.000000000,2163.0,1936.39439
2023-07-02T19:00:00.000000000,1966.0,1888.46903
2023-07-02T20:00:00.000000000,1810.0,1846.35643
2023-07-02T21:00:00.000000000,1844.0,1723.53115
2023-07-02T22:00:00.000000000,1697.0,1587.40713
2023-07-02T23:00:00.000000000,1516.0,1177.27254
2023-07-03T00:00:00.000000000,1154.0,762.62303
2023-07-03T01:00:00.000000000,517.0,327.51382
2023-07-03T02:00:00.000000000,46.0,172.31632
2023-07-03T03:00:00.000000000,2.0,94.13872
2023-07-03T04:00:00.000000000,1.0,12.21633
2023-07-03T05:00:00.000000000,1.0,60.72394
2023-07-03T06:00:00.000000000,1.0,67.01027
2023-07-03T07:00:00.000000000,1.0,11.8297
2023-07-03T08:00:00.000000000,1.0,60.20699
2023-07-03T09:00:00.000000000,1.0,41.22104
2023-07-03T10:00:00.000000000,1.0,68.97962
2023-07-03T11:00:00.000000000,5.0,119.64968
2023-07-03T12:00:00.000000000,350.0,314.11
2023-07-03T13:00:00.000000000,1308.0,756.27508
2023-07-03T14:00:00.000000000,2011.0,1287.50938
2023-07-03T15:00:00.000000000,2299.0,1629.22803
2023-07-03T16:00:00.000000000,2549.0,1902.43487
2023-07-03T17:00:00.000000000,2622.0,1915.55115
2023-07-03T18:00:00.000000000,2662.0,2007.83203
2023-07-03T19:00:00.000000000,2631.0,1981.32586
2023-07-03T20:00:00.000000000,2600.0,1937.01177
2023-07-03T21:00:00.000000000,2402.0,1811.66709
2023-07-03T22:00:00.000000000,2223.0,1675.75596
2023-07-03T23:00:00.000000000,2038.0,1222.50627
2023-07-04T00:00:00.000000000,1388.0,1062.23322
2023-07-04T01:00:00.000000000,485.0,487.58807
2023-07-04T02:00:00.000000000,37.0,293.98032
2023-07-04T03:00:00.000000000,1.0,107.91699
2023-07-04T04:00:00.000000000,1.0,32.71607
2023-07-04T05:00:00.000000000,1.0,96.03143
2023-07-04T06:00:00.000000000,1.0,115.15165
2023-07-04T07:00:00.000000000,1.0,0.0
2023-07-04T08:00:00.000000000,1.0,133.61794
2023-07-04T09:00:00.000000000,1.0,66.71342
2023-07-04T10:00:00.000000000,1.0,136.08268
2023-07-04T11:00:00.000000000,14.0,216.11398
